Ticker,Nama,Sektor,Industri,Periode,Basis,MataUang,Diperbarui,Saham,EPS,BVPS,DPS,Omzet,LabaBersih,EBITDA,EBIT,MarginKotor%,MarginOperasi%,MarginBersih%,ROE%,ROA%,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,DER,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,OCF,Capex,FCF,OCF/Laba,Payout%,OmzetYoY%,LabaYoY%,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%
ELTY,Bakrieland Development Tbk,Real Estate,Real Estate Services,2026-06-30,TTM,IDR,2026-09-02,43521913019.0,-0.6173,127.2777,,1454671000000.0,-26867000000.0,119591000000.0,53619000000.0,32.71,8.85,-1.85,-0.49,-0.31,1014129000000.0,144457000000.0,625953000000.0,8633886000000.0,5539370000000.0,0.18,5.23,0.83,0.32,0.61,100651000000.0,-25707000000.0,74944000000.0,-3.75,0.0,-2.9,-148.8,11.6,,2.0,0.0
DEWA,Darma Henwa Tbk,Energy,Thermal Coal,2026-03-31,TTM,IDR,2026-09-02,40687434244.0,106.4348,193.6018,1.5,6357668840000.0,4330559441000.0,4469968816000.0,4443441647000.0,15.48,11.53,68.12,68.37,33.76,3597592754000.0,486824326000.0,3021728585000.0,15952540404000.0,7877160533000.0,0.46,0.68,0.98,0.88,18.33,1017270953000.0,-1001952975000.0,15317978000.0,0.23,0.0,-2.2,34.6,1.8,,3.0,0.0
VKTR,VKTR Teknologi Mobilitas Tbk,Consumer Cyclical,Recreational Vehicles,2026-06-30,TTM-gabungan,IDR,2026-09-02,43750000000.0,-0.3423,23.8208,,1321824000000.0,-14975000000.0,47085000000.0,33382000000.0,17.39,1.81,-1.13,-1.43,-0.85,171281000000.0,38288000000.0,129715000000.0,1848799000000.0,1042160000000.0,0.16,2.75,2.05,1.66,1.47,171970000000.0,-121516000000.0,50454000000.0,-11.48,0.0,38.3,-170.9,0.6,,1.0,0.0
UNSP,Bakrie Sumatera Plantations ,Consumer Defensive,Farm Products,2026-03-31,TTM,IDR,2026-09-02,2500162344.0,97.2681,-2107.5387,,2620858000000.0,243186000000.0,392531000000.0,374956000000.0,29.97,15.53,9.28,-4.52,7.18,4727053000000.0,120585000000.0,4599120000000.0,3584043000000.0,-5269189000000.0,-0.9,11.72,0.1,0.07,10.76,306122000000.0,-344902000000.0,-38780000000.0,1.26,0.0,12.8,101.4,-15.2,-57.9,1.0,0.0
SIMP,Salim Ivomas Pratama Tbk.,Consumer Defensive,Packaged Foods,2026-06-30,TTM-gabungan,IDR,2026-09-02,15501310000.0,141.0385,1349.0497,26.0,21288660000000.0,2186281000000.0,4616934000000.0,4577786000000.0,25.32,19.8,10.27,10.91,5.41,9120765000000.0,9014405000000.0,60905000000.0,42347028000000.0,20912038000000.0,0.44,0.01,1.37,0.95,8.31,3008726000000.0,-1256154000000.0,1752572000000.0,1.38,18.57,-1.3,-1.7,5.8,19.9,2.0,0.0
LSIP,PP London Sumatra Indonesia ,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,6819963965.0,302.6825,2100.1243,83.0,5880175000000.0,2064284000000.0,2493427000000.0,2493427000000.0,37.37,34.8,35.11,15.14,13.51,329000000.0,8371777000000.0,-8371448000000.0,16294964000000.0,14322772000000.0,0.0,-3.36,7.08,6.44,2214.41,2632025000000.0,-448396000000.0,2183629000000.0,1.28,27.39,5.7,26.7,6.3,22.1,2.0,0.0
IMAS,Indomobil Sukses Internasion,Consumer Cyclical,Auto & Truck Dealerships,2026-03-31,TTM,IDR,2026-09-02,3994291039.0,32.21,3436.9178,4.0,31473531000000.0,128656000000.0,3546521000000.0,3129620000000.0,19.97,8.21,0.41,0.95,0.17,53374482000000.0,4701634000000.0,48463676000000.0,80796292000000.0,13728050000000.0,3.89,13.67,0.96,0.73,1.21,-1636176000000.0,-2836322000000.0,-4472498000000.0,-12.72,0.0,12.8,-69.9,6.0,-33.2,1.0,0.0
IMJS,Indomobil Multi Jasa Tbk.,Industrials,Conglomerates,2026-06-30,TTM,IDR,2026-09-02,10849262500.0,17.8206,507.051,0.35,6326435000000.0,193340000000.0,1446145146000.0,1352413146000.0,37.94,19.53,3.06,3.83,0.6,26948708000000.0,1551543000000.0,25277321000000.0,34052672000000.0,5501129000000.0,4.9,17.48,0.75,0.75,1.76,1453454000000.0,-2516492000000.0,-1063038000000.0,7.52,0.0,21.2,52.5,6.2,-5.4,1.0,11.9
DNET,Indoritel Makmur Internasion,Communication Services,Telecom Services,2026-06-30,TTM-gabungan,IDR,2026-09-02,14184000000.0,78.5028,1100.6655,5.0,1767634000000.0,1113484000000.0,2452017000000.0,1660423000000.0,,11.9,62.99,7.48,4.84,7043116000000.0,509825000000.0,6492694000000.0,24090881000000.0,15611840000000.0,0.45,2.65,0.97,0.97,3.2,434846000000.0,-1035115000000.0,-600269000000.0,0.39,0.0,17.8,-19.4,14.2,-0.9,2.0,0.0
MCAS,M Cash Integrasi Tbk.,Industrials,Business Equipment & Supplies,2026-06-30,TTM,IDR,2026-09-02,866995200.0,-52.8765,171.6071,,3806234900158.0,-45843686267.0,-28310225830.0,-55233075264.0,4.44,-0.02,-1.2,-27.56,-2.37,383759761423.0,112785686687.0,269917826233.0,1910341721045.0,148782546735.0,2.58,,1.57,0.99,-3.13,-47322569342.0,-106312622722.0,-153635192064.0,1.03,0.0,-40.8,-13.0,-27.3,,0.0,-0.07
PANI,Pantai Indah Kapuk Dua Tbk.,Real Estate,Real Estate - Development,2026-06-30,TTM-gabungan,IDR,2026-09-02,18189502198.0,139.1062,1601.5518,5.0,5593172320000.0,2530273425000.0,3471707098000.0,3456116759000.0,68.66,61.07,45.24,10.03,5.1,452186319000.0,4367851960000.0,-3915665641000.0,50770322848000.0,29131430053000.0,0.02,-1.13,2.34,0.5,67.93,-309513072000.0,-268604480000.0,-578117552000.0,-0.12,3.5,196.0,2099.5,95.5,102.5,3.0,7.25
CBDK,Bangun Kosambi Sukses Tbk.,Real Estate,Real Estate Services,2026-06-30,TTM-gabungan,IDR,2026-09-02,5643069200.0,448.3475,1872.4068,5.0,3509992744000.0,2530055766000.0,2649569808000.0,2642854684000.0,79.12,72.77,72.08,28.02,11.49,217454371000.0,3425899867000.0,-3208445496000.0,22220999185000.0,10566121186000.0,0.02,-1.21,1.51,0.59,119.57,178408810000.0,-236731505000.0,-58322695000.0,0.07,1.12,242.3,778.3,63.4,70.3,3.0,-0.46
RAJA,Rukun Raharja Tbk,Utilities,Utilities - Regulated Gas,2026-06-30,TTM,USD,2026-09-02,21135412500.0,32.4693,184.0131,8.0,4799043796800.0,686251923360.0,1415314681920.0,1377618975360.0,30.24,17.13,14.3,19.13,7.43,5276625470400.0,2198304206400.0,3061935372960.0,11120587534080.0,3889193473440.0,1.36,2.16,1.34,1.33,6.2,980101033440.0,-661736143680.0,318364889760.0,1.43,40.66,23.4,205.1,28.2,45.6,2.0,0.0
RATU,Raharja Energi Cepu Tbk.,Energy,Oil & Gas E&P,2026-06-30,TTM,USD,2026-09-02,2715053800.0,145.0034,370.589,45.0,884609438400.0,393691905120.0,666214896000.0,665788904640.0,56.61,48.79,44.5,45.16,14.99,2792965856160.0,1056628855680.0,1736337000480.0,4116732817440.0,1006168948320.0,2.78,2.61,2.39,2.39,15.28,320127498720.0,-34119695040.0,286007803680.0,0.81,30.73,22.9,508.5,,34.9,2.0,0.0
BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclical,Lodging,2026-06-30,TTM-gabungan,IDR,2026-09-02,24617054642.0,1.0645,87.5344,,383412133516.0,26205820701.0,98765986446.0,54205743607.0,70.76,17.94,6.83,1.47,1.08,455129707485.0,230776468678.0,223183531322.0,2732075317559.0,2154839009675.0,0.21,2.26,1.78,1.76,2.43,91799815271.0,-108428625949.0,-16628810678.0,3.5,0.0,47.8,-76.9,18.5,,2.0,19.56
HRTA,Hartadinata Abadi Tbk.,Consumer Cyclical,Luxury Goods,2026-06-30,TTM,IDR,2026-09-02,4605262400.0,288.7995,811.1909,40.0,63303233662381.0,1329997259504.0,2050416067991.0,2010186800309.0,3.83,3.21,2.1,42.04,14.65,4189281732944.0,983698277704.0,3189473023358.0,11350876052356.0,3735746835279.0,1.12,1.56,1.69,0.45,6.62,694811034043.0,-240938914845.0,453872119198.0,0.52,13.85,65.2,34.1,86.0,56.9,3.0,0.0
TINS,TIMAH (Persero) Tbk.,Basic Materials,Other Industrial Metals & Mining,2026-06-30,TTM-gabungan,IDR,2026-09-02,7447753454.0,500.586,1416.1618,88.19,17752588000000.0,3728241000000.0,5036226000000.0,4991561000000.0,33.67,27.11,21.0,41.0,25.77,1189095000000.0,4483933000000.0,53760000000.0,16448966000000.0,10547224000000.0,0.11,0.01,2.62,1.81,52.54,3816688000000.0,-289147000000.0,3527541000000.0,1.02,17.64,136.2,938.8,-2.6,8.0,2.0,0.0
DCII,DCI Indonesia Tbk.,Real Estate,Real Estate Services,2026-06-30,TTM-gabungan,IDR,2026-09-02,2383745900.0,468.5567,1942.0728,,2983331000000.0,1116920000000.0,1411646000000.0,1408587000000.0,51.68,46.27,37.44,28.12,16.71,2552706000000.0,322516000000.0,2229149000000.0,8016886000000.0,4629408000000.0,0.55,1.58,1.04,1.02,12.65,1485664000000.0,-2432059000000.0,-946395000000.0,1.33,0.0,18.8,-15.3,34.5,39.6,3.0,0.0
BYAN,Bayan Resources Tbk,Energy,Thermal Coal,2026-06-30,TTM-gabungan,USD,2026-09-02,33333335000.0,441.6517,1322.2601,462.13,62974083235200.0,14721723149280.0,19262026656480.0,19225704561600.0,33.72,30.8,23.38,33.81,23.59,0.0,16582757780640.0,-16582757780640.0,67134717387360.0,44075338692960.0,0.0,-0.86,1.8,1.52,,15701840237760.0,-3256871512800.0,12444968724960.0,1.07,59.6,3.2,0.7,-10.0,-29.4,0.0,0.0
MORA,Ekamas Mora Republik Tbk.,Communication Services,Telecom Services,2026-06-30,TTM-gabungan,IDR,2026-09-02,23646668691.0,24.9498,761.2422,,4958774764820.0,589980532807.0,1556907629185.0,1446508767846.0,59.98,28.41,11.9,4.74,2.05,17603756394579.0,2824206316914.0,14687357404168.0,43126828029746.0,18000841166282.0,0.98,9.43,1.32,1.1,2.66,1850559475830.0,-2683890325656.0,-833330849826.0,3.14,0.0,103.8,75.5,-4.9,-8.2,1.0,0.0
DSSA,Dian Swastatika Sentosa Tbk,Energy,Thermal Coal,2026-03-31,TTM,USD,2026-09-02,154732123250.0,26.6627,216.5711,,48784955401920.0,4125578416320.0,9624435335040.0,9166828138080.0,32.8,13.41,8.46,13.05,5.5,28350386514720.0,8763283837440.0,19431905230080.0,81630447928800.0,33510503845440.0,0.85,2.02,2.26,2.11,6.76,3459778056480.0,-7416056431200.0,-3956278374720.0,0.84,0.0,-6.0,2.2,-22.3,-26.9,0.0,0.0
SRAJ,Sejahteraraya Anugrahjaya Tb,Healthcare,Medical Care Facilities,2026-06-30,TTM-gabungan,IDR,2026-09-02,12238959990.0,-30.8953,88.9993,,2912640000000.0,-378126000000.0,120330000000.0,15081000000.0,38.09,1.25,-12.98,-29.11,-4.95,4958739000000.0,1530185000000.0,3421666000000.0,7621754000000.0,1089259000000.0,4.55,28.44,1.4,1.35,0.04,293562000000.0,-866062000000.0,-572500000000.0,-0.78,0.0,11.3,-439.7,10.2,,2.0,0.0
SMMA,Sinarmas Multiartha Tbk.,Financial Services,Insurance - Diversified,2026-03-31,TTM-gabungan,IDR,2026-09-02,6367664717.0,341.0784,3913.5515,,35089239000000.0,2171873000000.0,,4473690000000.0,,,6.19,9.35,1.79,10283557000000.0,10066026000000.0,10726000000.0,124138154000000.0,24920184000000.0,0.41,,,,2.35,3339228000000.0,-170539000000.0,3168689000000.0,1.54,0.0,-8.6,115.3,5.1,34.3,2.0,0.0
EMAS,Merdeka Gold Resources Tbk.,Basic Materials,Gold,2026-03-31,TTM-gabungan,USD,2026-09-02,14731366060.0,-35.2163,443.746,,49313446080.0,-518783843520.0,-275930602080.0,-275930602080.0,11.31,-515.7,-1052.01,-9.11,-4.36,6516323837760.0,859738068000.0,4921106873760.0,14373334020480.0,6536985022560.0,1.0,,1.12,0.7,-1.15,-635413461600.0,-3265847541120.0,-3901261002720.0,1.22,0.0,,,,,1.0,0.0
MPRO,Maha Properti Indonesia Tbk.,Real Estate,Real Estate - Development,2026-06-30,TTM-gabungan,IDR,2026-09-02,9942500000.0,-5.7915,79.3278,,4647535000.0,-57582141000.0,-37408907000.0,-37947129000.0,31.18,-824.07,-1238.98,-7.0,-3.44,249801000000.0,5008099000.0,244792901000.0,1668369712000.0,788717116000.0,0.32,,0.01,0.01,-1.93,-33095577000.0,-83234000.0,-33142716000.0,0.57,0.0,328.4,34.8,-37.4,,1.0,0.0
CASA,Capital Financial Indonesia ,Financial Services,Insurance - Life,2026-06-30,TTM-gabungan,IDR,2026-09-02,54476269803.0,2.7108,150.3217,,4546165000000.0,147672000000.0,,1350363000000.0,,,3.25,1.88,0.45,1047675000000.0,2163527000000.0,-1115852000000.0,33546952000000.0,8188967000000.0,0.13,,,,1.25,-2827378000000.0,1350000000.0,-2823100000000.0,-19.15,0.0,-63.1,43.0,-22.1,67.0,2.0,0.0
HMSP,H.M. Sampoerna Tbk.,Consumer Defensive,Tobacco,2026-06-30,TTM-gabungan,IDR,2026-09-02,116318076900.0,74.5825,223.844,56.3,113494073000000.0,8675292000000.0,11401889000000.0,11109164000000.0,19.02,9.12,7.64,30.8,17.0,317936000000.0,6605359000000.0,-6287423000000.0,49897097000000.0,26037106000000.0,0.01,-0.55,1.65,0.78,444.54,11105557000000.0,-475825000000.0,10629732000000.0,1.28,75.07,1.7,11.5,0.3,1.5,1.0,0.0
AADI,Adaro Andalan Indonesia Tbk.,Energy,Thermal Coal,2026-03-31,TTM-gabungan,USD,2026-09-02,7786891760.0,1613.0008,7924.4183,1001.4,85070719680000.0,12560262720000.0,18174038880000.0,18150169440000.0,24.46,19.43,14.76,21.85,12.01,14926036800000.0,16240294560000.0,-1314257760000.0,102662390400000.0,61706587200000.0,0.24,-0.07,2.1,1.93,26.56,10263077760000.0,-5781412800000.0,4481664960000.0,0.82,35.6,,,-14.0,-31.3,1.0,0.0
BNLI,Bank Permata Tbk,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,36181312782.0,101.1931,1247.8795,35.0,12338621000000.0,3661299000000.0,,,,,29.67,8.26,1.36,12226421000000.0,23112912000000.0,-10886491000000.0,272625732000000.0,45149918000000.0,0.27,,,,,-7813292000000.0,-400427000000.0,-8213719000000.0,-2.13,34.31,-3.6,1.3,4.9,21.2,3.0,0.0
IMPC,Impack Pratama Industri Tbk.,Industrials,Building Products & Equipment,2026-06-30,TTM-gabungan,IDR,2026-09-02,54685279100.0,14.0973,57.7108,,4836446980829.0,770912516093.0,1193915371877.0,1086892985181.0,40.46,20.9,15.94,29.6,15.62,1060939124233.0,479224105745.0,182059582995.0,5324652475270.0,3155931451735.0,0.34,0.15,2.44,1.31,13.78,824563618913.0,-275113977785.0,549449641128.0,1.07,0.0,37.6,60.0,15.0,26.3,3.0,0.77
ADMR,Alamtri Minerals Indonesia T,Basic Materials,Coking Coal,2026-03-31,TTM-gabungan,USD,2026-09-02,40882331500.0,127.4885,716.4192,50.62,18479315520000.0,5212027200000.0,6655897440000.0,6641227680000.0,42.08,34.16,28.2,19.18,11.12,17064234240000.0,8954520960000.0,8088170400000.0,56929502400000.0,29288886240000.0,0.58,1.22,2.0,1.76,2898.78,3695554080000.0,-12149562720000.0,-8454008640000.0,0.71,41.46,-14.6,-15.4,2.3,-6.5,1.0,0.0
MLPT,Multipolar Technology Tbk.,Technology,Information Technology Services,2026-06-30,TTM-gabungan,IDR,2026-09-02,46875000000.0,7.885,15.8215,5.34,3928103000000.0,369609000000.0,492568000000.0,478137000000.0,16.64,9.65,9.41,49.88,10.3,214118000000.0,499334000000.0,-285216000000.0,3736688000000.0,741634000000.0,0.29,-0.58,1.03,0.54,19.14,616234000000.0,-110581000000.0,505653000000.0,1.67,65.44,19.0,69.9,3.7,-15.6,1.0,0.0
NCKL,Trimegah Bangun Persada Tbk.,Basic Materials,Other Industrial Metals & Mining,2026-06-30,TTM-gabungan,IDR,2026-09-02,62987866700.0,169.2943,696.521,42.64,32634946000000.0,10663487000000.0,14181770000000.0,14086999000000.0,28.12,24.01,32.68,27.87,16.9,8915750000000.0,4885730000000.0,4030020000000.0,70985378000000.0,43872369000000.0,0.2,0.28,1.69,0.88,23.36,5174942000000.0,-878467000000.0,4296475000000.0,0.49,0.0,44.3,87.2,45.8,24.2,3.0,-0.12
BELI,Global Digital Niaga Tbk.,Consumer Cyclical,Internet Retail,2026-06-30,TTM-gabungan,IDR,2026-09-02,137218985689.0,-12.6649,66.6747,,27595756000000.0,-1737867000000.0,-797946000000.0,-1379882000000.0,16.17,-4.79,-6.3,-19.19,-9.54,3702772000000.0,1630052000000.0,1449441000000.0,18751121000000.0,9149030000000.0,0.4,,1.24,0.8,-5.43,-1142944000000.0,-452123000000.0,-1595067000000.0,0.66,0.0,49.0,36.0,13.6,,3.0,4.75
PGUN,Pradiksi Gunatama Tbk.,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,5737848882.0,20.9633,335.1092,6.97,712529402892.0,120284198954.0,223906709380.0,180480114257.0,39.12,24.31,16.88,6.4,4.76,291926187983.0,399112079.0,291527075904.0,2425365581412.0,1922805844805.0,0.15,1.3,1.84,0.71,5.81,264299287225.0,-96020649349.0,168278637876.0,2.2,33.25,-21.2,-73.5,-7.7,-2.6,1.0,0.0
MEGA,Bank Mega Tbk,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,23247028262.0,141.0807,962.1149,85.97,7126323000000.0,3279706000000.0,,,,,46.02,14.88,2.36,3279213000000.0,9367741000000.0,-6088528000000.0,144896195000000.0,22366313000000.0,0.15,,,,,12514649000000.0,-173235000000.0,12341414000000.0,3.82,61.63,9.5,17.5,-2.7,-6.0,1.0,-1.0
TAPG,Triputra Agro Persada Tbk.,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,19852540000.0,203.9294,576.3316,201.0,11750959000000.0,4048517000000.0,5179327000000.0,5159326000000.0,41.48,34.19,34.45,35.12,27.26,1078230000000.0,1706296000000.0,-628066000000.0,14823740000000.0,11441646000000.0,0.09,-0.12,2.36,1.47,84.46,3708726000000.0,-699703000000.0,3009023000000.0,0.92,88.24,28.4,61.5,6.9,7.5,2.0,0.0
GEMS,Golden Energy Mines Tbk.,Energy,Thermal Coal,2026-03-31,TTM,USD,2026-09-02,5882353000.0,679.1632,2362.3236,237.95,41706000802560.0,3995077456800.0,5936509920960.0,5661087148320.0,30.59,13.81,9.58,29.06,17.88,2328115687200.0,2504182253280.0,385462169760.0,21777116533440.0,13896021446400.0,0.17,0.06,1.77,1.64,52.3,2827665663840.0,-352527191040.0,2475138472800.0,0.71,92.34,-10.1,-29.4,-6.1,-27.6,0.0,0.0
BNGA,Bank CIMB Niaga Tbk.,Financial Services,Banks - Regional,2026-03-31,TTM-gabungan,IDR,2026-09-02,25142043843.0,271.9174,2340.3237,161.77,19751684000000.0,6836560000000.0,,,,,34.61,12.23,1.88,11454305000000.0,17719257000000.0,-6264952000000.0,368218954000000.0,58840521000000.0,0.19,,,,,-8977240000000.0,-853080000000.0,-9830320000000.0,-1.31,59.31,11.0,4.3,1.0,10.9,3.0,0.02
BDMN,Bank Danamon Indonesia Tbk.,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,9773552870.0,475.1147,5557.8022,142.19,25573439000000.0,4643559000000.0,,,,,18.16,8.84,1.68,20406072000000.0,20640901000000.0,5835467000000.0,301303963000000.0,54319474000000.0,0.38,,,,,-1237075000000.0,-634939000000.0,-1872014000000.0,-0.27,30.45,34.6,50.1,8.4,6.3,2.0,0.0
MTEL,Dayamitra Telekomunikasi Tbk,Communication Services,Telecom Services,2026-06-30,TTM-gabungan,IDR,2026-09-02,80798831544.0,26.4368,396.6804,25.65,9629066000000.0,2136061000000.0,3492212000000.0,3492212000000.0,49.45,42.55,22.18,6.48,3.59,20990518000000.0,1952092000000.0,16552274000000.0,60105879000000.0,32051309000000.0,0.65,4.74,0.41,0.41,2.85,6670152000000.0,-2171742000000.0,4498410000000.0,3.12,94.98,6.0,7.6,7.2,5.9,3.0,-0.9
CMRY,Cisarua Mountain Dairy Tbk.,Consumer Defensive,Packaged Foods,2026-06-30,TTM-gabungan,IDR,2026-09-02,7934683000.0,278.5994,902.7029,350.0,12036789000000.0,2210598000000.0,2866150000000.0,2793247000000.0,44.38,42.91,18.37,30.71,24.55,449000000.0,558058000000.0,-557609000000.0,9247647000000.0,7162661000000.0,0.0,-0.19,2.03,1.35,639.92,1917419000000.0,-878203000000.0,1039216000000.0,0.87,71.78,37.2,28.5,18.9,24.2,3.0,0.0
MYOR,Mayora Indah Tbk,Consumer Defensive,Packaged Foods,2026-06-30,TTM-gabungan,IDR,2026-09-02,22026684225.0,154.7214,824.7243,60.0,38806610838784.0,3407998958713.0,4976752156527.0,4837363903393.0,24.04,10.83,8.78,19.1,11.83,4550814628149.0,5600378690795.0,2417546422717.0,28525086827392.0,18165942046370.0,0.25,0.49,3.32,2.37,9.34,6564553147793.0,-919621341438.0,5644931806355.0,1.93,39.11,-13.5,10.8,8.0,13.8,1.0,-1.48
TBIG,Tower Bersama Infrastructure,Communication Services,Telecom Services,2026-06-30,TTM-gabungan,IDR,2026-09-02,22592481545.0,63.7434,571.3895,47.0,6919334000000.0,1440122000000.0,3549392000000.0,3455768000000.0,71.5,62.32,20.81,12.47,3.09,29923179000000.0,700340000000.0,29178049000000.0,48241918000000.0,12909106000000.0,2.32,8.22,0.16,0.14,1.74,5087828000000.0,-2874691000000.0,2213137000000.0,3.53,73.16,0.6,7.8,1.9,-4.5,1.0,1.23
EMTK,Elang Mahkota Teknologi Tbk,Communication Services,Broadcasting,2026-06-30,TTM-gabungan,IDR,2026-09-02,61182504933.0,36.6604,598.6442,10.0,21123322000000.0,2242973000000.0,5274847000000.0,4538200000000.0,25.92,6.28,10.62,5.89,3.71,3273417000000.0,19853466000000.0,-16580049000000.0,59875434000000.0,36626553000000.0,0.09,-3.14,4.84,4.58,26.27,3221573000000.0,-684754000000.0,2536819000000.0,1.44,27.23,26.9,-99.6,24.7,7.6,2.0,0.06
ARCI,Archi Indonesia Tbk.,Basic Materials,Gold,2026-03-31,TTM-gabungan,USD,2026-09-02,25235000000.0,85.3897,275.7496,40.5,9632317684800.0,2154809540160.0,4111018430880.0,4111018430880.0,44.76,43.07,22.37,36.51,12.6,8583552477600.0,700860624480.0,7792901910720.0,18846768286080.0,6958540378560.0,1.23,1.9,1.02,0.48,6.54,1414313373120.0,-1334283811680.0,80029561440.0,0.66,39.71,89.3,107.6,31.9,91.3,2.0,1.61
JARR,Jhonlin Agro Raya Tbk.,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,9230665050.0,28.9278,218.3955,6.5,4001350102753.0,267022728360.0,468101071964.0,465346513582.0,19.17,10.65,6.67,14.14,6.6,1727116055442.0,456938119001.0,1269461926934.0,4093556445452.0,2015935833918.0,0.86,2.71,3.95,2.8,3.76,214332225622.0,-154832256434.0,59499969188.0,0.8,22.47,16.2,96.9,-2.7,86.1,3.0,0.0
NISP,Bank OCBC NISP Tbk,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,22945296972.0,227.561,1933.8588,45.0,13461249000000.0,5221455000000.0,,,,,38.79,12.42,1.68,2133423000000.0,17708726000000.0,-15575303000000.0,329494447000000.0,44372965000000.0,0.05,,,,,18171596000000.0,-261578000000.0,17910018000000.0,3.48,19.78,6.8,6.1,7.3,15.0,3.0,0.0
SILO,Siloam International Hospita,Healthcare,Medical Care Facilities,2026-06-30,TTM-gabungan,IDR,2026-09-02,12987503744.0,95.2086,791.6194,,13505885000000.0,1236522000000.0,2890955000000.0,1825470000000.0,38.7,14.29,9.16,12.94,8.47,2450355000000.0,1226974000000.0,854207000000.0,15832534000000.0,10281160000000.0,0.24,0.3,0.72,0.68,15.64,2474830000000.0,-1851564000000.0,623266000000.0,2.0,0.0,14.8,22.3,10.5,16.9,2.0,-0.01
MIKA,Mitra Keluarga Karyasehat Tb,Healthcare,Medical Care Facilities,2026-06-30,TTM-gabungan,IDR,2026-09-02,13906650800.0,101.328,525.3996,43.0,5573825619611.0,1409133398526.0,2102874808408.0,1887986954545.0,54.12,30.57,25.28,19.97,15.06,9294010627.0,2852486747389.0,-2843192736762.0,9983144487218.0,7306548427693.0,0.0,-1.35,2.78,2.74,106.45,2079519261437.0,-1213365996853.0,866153264584.0,1.48,42.41,11.0,15.2,9.9,10.6,2.0,-0.01
GIAA,Garuda Indonesia (Persero) T,Industrials,Airlines,2026-03-31,TTM-gabungan,USD,2026-09-02,407091703837.0,-12.7598,-1.7289,,57815806035840.0,-5194402637760.0,4025813321280.0,3614123574240.0,17.27,4.85,-8.98,43.04,-4.14,65445067200000.0,15229200000000.0,9715785600000.0,133320412800000.0,-703828800000.0,-92.98,2.41,0.98,0.92,0.39,7548483729120.0,-12436471719360.0,-4887987990240.0,-1.45,0.0,-10.8,-179.4,15.3,,0.0,345.0
FAPA,FAP Agri Tbk.,Consumer Defensive,Farm Products,2026-06-30,TTM-gabungan,IDR,2026-09-02,3484989800.0,374.133,1191.8286,70.0,8441989390995.0,1303849708188.0,2151673401776.0,2149281209578.0,31.87,24.03,15.44,37.42,12.34,4963962339325.0,963658959391.0,4000252254934.0,10986702062123.0,4153510680154.0,1.2,1.86,0.84,0.5,6.25,1808588477971.0,-1871811039388.0,-63222561417.0,1.39,19.29,34.2,82.6,16.2,14.5,2.0,0.0
JPFA,Japfa Comfeed Indonesia Tbk.,Consumer Defensive,Farm Products,2026-03-31,TTM-gabungan,IDR,2026-09-02,11627669901.0,442.0483,1766.5469,140.0,64097536000000.0,5139992000000.0,8030386000000.0,7698660000000.0,23.43,11.37,8.02,28.54,13.89,8207996000000.0,1849630000000.0,6200297000000.0,39333812000000.0,20540824000000.0,0.4,0.77,1.79,0.53,10.86,6340063000000.0,-3300451000000.0,3039612000000.0,1.23,31.18,22.0,96.8,7.4,41.3,2.0,0.0
BINA,Bank Ina Perdana Tbk.,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,6134716665.0,-53.5826,484.3192,,722972000000.0,-328714000000.0,,,,,-45.47,-9.97,-1.11,35646000000.0,4824360000000.0,-4788714000000.0,34445349000000.0,2971161000000.0,0.01,,,,,4937465000000.0,-101538000000.0,4730377000000.0,-15.02,0.0,11.2,-16.3,4.1,,1.0,0.0
TKIM,Pabrik Kertas Tjiwi Kimia Tb,Basic Materials,Paper & Paper Products,2026-06-30,TTM-gabungan,USD,2026-09-02,3113223570.0,2509.6392,18302.1998,30.0,18166970400000.0,7813068000000.0,8634876480000.0,8617933440000.0,15.31,6.48,43.01,14.7,10.9,13293484320000.0,1242738240000.0,12048561600000.0,74212717440000.0,56978839680000.0,0.23,1.4,1.35,0.82,13.56,-828468480000.0,-1946052000000.0,-2774520480000.0,-0.11,1.18,4.6,83.2,-4.9,-15.9,1.0,0.0
BSIM,Bank Sinarmas Tbk.,Financial Services,Banks - Regional,2026-06-30,TTM-gabungan,IDR,2026-09-02,19716162403.0,13.7232,422.6712,,2949756000000.0,270569000000.0,,,,,9.17,3.3,0.49,744731000000.0,12546056000000.0,-11801325000000.0,60916854000000.0,8333455000000.0,0.09,,,,,-206364000000.0,-101175000000.0,-307539000000.0,-0.76,0.0,-9.5,65.7,-1.1,8.9,1.0,0.0
